id,temporada,codigo,exportadora_id,exportadora_nombre,productor_id,productor_nombre,campo_id,campo,csg,especie_id,especie_nombre,variedad_id,variedad_nombre,fecha_recepcion,planta,lote,guia,numero,peso_fruto,calibre,numero_orden,recepcion_id,created_at,updated_at
10226,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,132.0,115,4,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10227,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,125.0,140,5,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10228,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,146.0,115,4,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10229,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,105.0,165,6,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10230,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,117.0,140,5,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10231,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,175.0,95,3,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10232,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,154.0,115,4,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10233,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,100.0,165,6,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10234,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,144.0,115,4,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10235,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,174.0,95,3,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10236,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,137.0,115,4,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10237,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,149.0,115,4,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10238,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,116.0,140,5,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10239,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,69.0,235,8,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10240,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,115.0,140,5,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10241,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,145.0,115,4,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
10242,2024/2025,LFR-,10,AMP EXPORT LTDA,40,SOCIEDAD AGRICOLA EL RANCHILLO,110,SOC. AGRICOLA EL RANCHILLO UNO LTDA,98709,12,LIMONES,110,FINO 49,2025-05-15T04:00:00.000000Z,ALMAHUE,1475,12901,1,300.0,SOBRECALIBRE,1,98,2025-05-15T20:45:30.000000Z,2025-05-17T17:30:25.000000Z
